TaxId	GenomeSize(Mb)
1034015	2.52794
985052	2.29898
2583824	3.86856
246969	1.98474
563177	1.85969
282676	2.68746
79601	2.46601
122420	1.98474
39669	2.13844
379547	1.3699
2594042	4.4278
2283	2.28948
2663019	1.95788
242703	1.49645
342949	1.7991
2180	1.24334
1898749	1.36008
2265	1.82
1903276	1.97259
2189	1.8542
565033	1.90111
2586643	2.23401
29288	4.31412
41675	1.98707
2497325	3.50679
69525	4.30927
2215	4.56388
588898	3.83336
42879	1.5695
224719	1.98349
1592728	4.21727
1932360	3.93333
1273541	2.02384
2214	4.25736
866790	1.61994
475088	2.92292
83984	1.21388
53953	1.7385
82076	1.5459
1937005	1.42597
71997	1.67412
1891280	1.95788
2173	1.85316
582419	1.41378
145263	1.63914
570267	2.95763
1816183	3.5603
1505907	2.12616
1434103	3.27212
160233	1.29754
2271	1.84154
69656	2.76324
1379702	2.11309
2246	3.86675
1670455	2.35319
416273	2.91257
418008	4.97273
1510466	1.63996
155863	1.06075
342948	1.84761
1410606	1.23883
62320	5.44078
1674923	1.98474
1710541	3.732358
187878	2.04544
1798806	2.83645
1457250	3.45178
2269	1.47079
387341	3.22388
29291	2.57503
1316941	2.07693
1406512	1.88396
1073996	3.28459
195522	1.97636
430914	3.14636
54261	2.19627
1609968	1.98349
83816	2.7707
118062	2.46957
86622	2.55653
301375	2.32835
83986	2.55653
84156	1.1982
497727	2.83387
229980	1.59352
2198	2.32014
2317	1.7674
673860	1.36636
230361	2.46126
1071085	2.8809
2565781	0.973463
70771	1.76982
1380432	2.7441
53952	1.90278
311400	2.08874
29284	3.0802
1609559	1.97713
1932004	3.72171
387343	4.35527
868131	2.54654
745377	3.93055
877455	2.58375
348826	4.34848
58290	0.84755
1826872	2.98978
184117	1.93606
110164	1.92091
1577791	1.48867
83171	1.50725
277988	2.06593
61858	4.24685
54252	1.84327
13773	2.38399
54120	2.84329
573	5.59628
136857	2.72123
1639	2.97225
35790	1.28397
2291597	4.07198
1314	1.79141
1764	5.18945
28450	7.1231
33045	2.36952
1238	3.48403
61435	1.38891
34	9.26347
287	6.60155
813	1.04624
2304600	5.02962
1352	2.92265
133924	4.651
28028	2.67005
346	5.26333
419479	7.64222
487	2.12069
485	2.14504
747	2.32025
562	5.13122
1914871	5.18181
1503055	6.90184
29519	1.23755
536441	2.62669
2139	1.55923
1717	2.43604
28901	4.80771
1420917	4.48048
1773	4.38305
197	1.67684
29542	3.19121
47678	5.3701
550542	3.4776
35791	1.32745
1912871	2.8061
624	4.66757
692036	6.69075
396	6.72931
222805	6.1336
727	1.8477
134821	0.732889
187137	2.19459
29459	3.29005
192	7.09252
1280	2.83686
160	1.13942
158327	7.21527
663364	2.70775
316	4.37454
199441	4.56518
231455	4.80021
164514	0.613093
61645	4.84995
622	4.59586
670	5.10702
2371	2.5226
449461	6.22062
75985	2.62161
1661	2.32156
1667168	2.38827
2592345	6.11865
1385663	5.09266
169427	7.3214
332163	4.46773
424800	3.74248
121719	5.53066
28035	2.57173
171284	0.998123
59843	6.5339
1336	2.12988
2133	1.81082
216816	2.39546
339	5.00535
520	4.1043
317	6.08188
305	5.60202
784	2.00899
2582905	4.32395
303	6.07843
1571	3.36233
264691	7.00014
263	1.82572
441500	2.6118
2588707	8.19266
128780	3.87492
91844	0.352068
33964	1.84495
2602070	3.85506
1599	1.99257
1351	2.97338
1392	5.43745
204038	4.81753
1719	2.33786
1660	2.39396
1308	1.83195
446	3.44561
413882	6.476147
165096	1.51181
164546	6.73779
1597	3.0115
1850093	5.23397
1505597	0.77394
470	3.97473
651561	5.28719
463025	5.92284
2663009	2.32408
2382163	2.0096
546	5.25755
1496	4.15343
2488639	4.9781
524	3.96308
2498704	4.06268
728066	4.45918
1408	3.66559
2587856	4.68353
1891926	8.92048
492670	3.96103
1685	2.33155
2058134	3.03453
382	6.92138
477641	5.1099
1313	2.08598
34062	2.63133
240521	5.1312
1423	4.12574
147268	1.93246
627192	4.56125
549	4.86383
2496836	10.6771
29518	1.21928
1042156	2.78045
730	1.65268
2497879	4.42089
2097	0.579677
1708	4.217
1590	3.25387
2684468	8.19266
1839800	4.53965
206	1.75339
153496	3.26908
78327	5.74662
1137606	4.18891
2528028	7.9839
463	3.86383
1304	2.19584
633	4.72085
40215	3.37031
274	2.14429
33033	1.6791
36809	5.10513
2594269	4.49251
2109692	2.75359
513223	4.75502
246273	1.25006
358	5.52401
584	4.01314
2109913	3.75402
347	4.48527
2320858	3.82595
28198	2.09375
1869241	8.28895
1050370	3.27883
29471	4.94949
57706	5.11009
1871037	1.78345
658644	6.21891
52443	5.72587
1282	2.50584
1341	2.06202
1332264	3.9347
519	4.7739
40542	2.46561
83558	1.22858
47715	2.949
2058152	6.19057
1428	6.05811
2494373	6.68011
33910	10.2469
28025	1.93269
2053527	2.74787
1261031	8.28895
636	3.74401
1437453	7.85486
399497	3.65077
85991	1.10611
84588	2.11117
91915	3.30694
666	4.02008
28173	6.35414
1318743	1.46769
1307	2.10623
57975	6.68436
1283	2.5086
29461	3.31581
421628	3.45428
158836	4.95998
104268	3.35138
83555	1.16214
1615909	4.07193
40324	4.65244
388640	1.59649
1661694	8.19266
1803865	2.22957
851	2.4247
103855	4.89636
1302	2.19256
2017485	3.5685
9	0.639938
2615203	4.42888
738	2.24812
74109	6.18633
51669	2.43853
2420309	2.04531
833	3.15902
1581011	2.59842
2259647	6.02491
221822	4.28004
1705394	1.48572
1254	2.0096
1985873	2.54562
672	5.03085
1502	3.35051
158841	3.97627
2607911	6.66212
2692757	2.325084
587753	6.88388
1306993	5.77094
2698679	4.02999
1902	8.58449
210	1.63254
518	5.19988
571	6.0508
84112	3.45906
39491	3.24353
1164002	2.79322
1580596	4.22771
1630135	2.34081
29303	8.09255
1850526	4.09966
1884913	1.41011
1309	1.98387
2486578	1.73839
1311	2.08293
394958	3.50351
113107	1.98889
788	1.155
44250	6.49474
1398	3.42411
663	5.25584
1584	1.90732
454662	4.67467
1699623	3.15697
2594913	2.34301
691437	3.4776
1920110	5.12288
1070130	0.938041
267818	2.25565
1292	2.56298
1481663	3.97987
1245	1.90981
837	2.33175
140	1.37793
1402	4.26029
2028345	3.5487
1396	5.75713
881260	4.76813
54571	8.13583
253	4.84279
92945	3.27639
29549	3.2679
235	3.28601
2006110	3.35178
316279	2.11117
782	1.11152
403957	3.96035
713030	2.35188
1287055	3.09359
1916	8.36303
2601894	4.30644
2052936	5.04024
659243	3.95773
329854	6.03919
2104	0.81718
97084	3.43791
2528027	5.16347
1491	3.94692
1447062	4.43073
388950	4.82292
33035	6.04683
1924286	1.07631
1536774	6.66212
108981	3.2587
43675	2.28519
35814	3.69537
28108	4.5887
1613	2.01183
486	2.18548
920	3.10916
1714849	5.96923
2483033	5.08092
1328	1.95819
955	1.21565
2593655	4.80881
326522	2.28394
64104	5.6649
1526658	6.15781
46541	1.89058
714	2.17043
2172099	5.02164
1748	3.63868
1379910	4.82079
119864	4.68432
304207	3.13577
62322	5.1994
484	2.26144
1340425	3.73569
2547598	4.12641
2594459	8.19266
1829	6.0883
1508419	2.01491
29430	3.52597
83560	1.07295
587	4.64919
1686	2.08276
33059	3.05463
2303505	4.09602
2039	0.927515
158	2.82537
615	5.21305
132920	3.01767
216778	4.26816
2303332	4.67467
632	4.59631
941907	2.80735
442694	5.19489
265959	3.74809
283686	5.6009
1642646	3.20992
2528023	7.79579
83406	4.58746
1463165	5.48213
2116702	3.85376
28038	1.93262
32046	2.74227
680	5.62656
1848756	1.45652
2572088	0.782344
83453	9.91044
47865	6.70809
33989	1.45621
1854057	6.63908
1842532	3.21847
861	3.56612
2014742	4.97257
13373	5.65554
1933906	2.57822
398694	4.45696
65058	2.50943
214	1.60916
553	4.92861
1747	2.50237
980251	6.55033
1449	2.56949
70258	2.56371
1338	1.94241
945	1.17436
2066483	1.11305
198	1.77947
348824	7.4689
756892	3.03373
412963	3.75014
1636609	4.63858
146919	3.80211
28037	2.00271
2678688	3.90995
28095	8.33122
356322	3.21898
167	2.89743
1134687	6.1921
1580	2.57053
2211160	4.37199
1158459	4.90203
1325090	8.3711
675	3.79954
1498	2.74079
1404	5.73617
912	5.01152
739	1.96566
173	4.62703
1211322	4.22254
515393	7.08753
1255	1.83398
2599308	3.08338
682956	7.07618
255045	8.28751
1074467	2.76231
111781	6.33298
326544	5.37465
1096868	6.51244
1795053	3.49941
72361	3.94408
232259	4.1966
545	4.82628
75105	9.04345
2585771	3.40918
33932	4.8982
201	1.51865
1495769	0.357498
1590041	4.46571
293387	3.74512
195253	2.11117
571915	3.47423
1488	4.10898
158899	5.26432
174633	3.76466
623	4.58472
1390	3.97214
907	2.42903
946333	6.3981
1736674	3.99477
2042057	4.85865
96345	2.74968
652787	6.01406
32002	6.70025
122	7.74227
61646	4.51638
53345	3.03374
1422	2.89093
195	1.71414
70863	4.96622
1336804	3.37186
431057	2.20634
35792	1.30053
395961	5.78611
294	6.35498
960	3.81031
312306	5.68635
1670831	4.63717
1737490	7.11381
1553431	2.795
1503054	7.72747
1781	6.32439
1111760	2.09787
80867	5.5745
408	5.73246
2058133	4.40236
361101	2.12404
56459	4.91289
171437	6.23778
2382161	4.03576
1391653	4.35055
399736	3.3775
95486	7.90806
239935	2.76245
72557	6.45695
245188	3.7216
1940762	7.89957
648	4.52123
246167	5.39669
1499308	3.59236
1284	2.43237
2565557	3.15697
117157	6.40367
38293	4.48221
1842537	4.66646
604330	2.05906
29520	1.52889
279058	5.0503
797277	3.98794
2023229	3.27915
1697	2.79019
669	5.86454
1579	1.97072
55213	4.02809
95300	6.4249
358220	5.0149
899	3.94266
673	4.09628
232537	1.395016333
216936	0.945296
1247	1.89014
1678728	4.22405
2066070	6.52953
2696063	5.50044
1219	1.68976
649756	3.01869
53346	3.33814
163877	3.92613
964	5.49783
1100	2.25954
766224	5.96756
157692	2.28728
550	5.04429
1241979	3.2301
2597660	4.16877
2599640	5.70588
90270	5.24801
162	3.25077
2121	0.758383
336810	0.270029
45497	3.15497
911092	2.39142
2743	4.0508
43659	4.05666
375929	3.19145
261524	6.39954
1525	2.62606
47466	1.34846
2681549	4.02999
2003551	4.04628
199	1.94143
139	1.2949
2211210	4.53075
2049305	4.13096
187452	1.96441
285091	4.91461
2336	1.86961
1931241	6.21891
2143	1.16464
404941	4.94866
135487	6.37843
1504981	3.86986
369822	1.41392
272774	4.02951
1581557	1.30841
431306	2.81898
2483401	3.49941
1402135	4.95164
513050	1.6918
2480625	4.08928
24	4.50006
1340	2.02588
227942	1.90487
1609758	4.78703
28110	2.02766
193	7.77069
1411117	6.800142
171695	2.32222
2588534	2.60308
1587	2.01936
83655	4.61726
521	3.73225
458033	3.69537
2609418	6.21891
41170	3.18572
2096	0.963058
1358	2.51267
2077137	4.80886
198620	6.09363
1697053	2.37726
654	4.60703
33959	1.91814
1462	3.56707
1406	5.80293
38288	2.33364
681157	4.16528
1309411	3.23698
657445	1.77949
76124	1.90676
1521	4.06872
536	4.75452
556499	3.0439
1076	5.39916
82996	5.44935
168695	5.2398
176102	4.51368
1077946	8.39304
126385	4.04769
2011012	5.04024
244366	5.66845
29575	1.668
1807358	5.46331
29388	2.50685
1907578	4.603334
1941347	5.04024
51664	1.82214
2528037	1.95395
134601	6.86372
1117645	4.04711
2541726	3.82828
2074	7.53529
985002	2.79345
676	4.81237
36818	7.88921
180957	4.83692
582	3.9634
290400	4.40405
1809410	3.78432
39645	6.89532
1767	5.51859
860	1.96823
480	1.90912
137591	2.45564
200	1.97126
197162	2.54293
1484118	5.09266
38323	1.89057
720	2.34514
46680	6.70097
2686365	3.93476
1464	4.37817
2589074	4.43429
55601	4.27296
1702221	2.41579
1421	4.74447
944547	2.53374
332055	3.945731
19	3.66589
1889813	2.94549
2083055	6.21891
36814	6.41574
237609	5.80352
1758189	3.44947
324079	1.28434
1847728	2.52751
1884905	1.326
2113	0.802238
135727	0.750803
2057246	3.43287
2502843	2.87473
29546	1.6942
1604	2.00424
87883	6.43152
2305508	7.14911
1969	9.60636
355249	8.19266
2545632	4.24228
529884	1.43043
28116	6.74282
89154	2.75123
1582	2.95296
658062	2.47562
1343	1.89801
1769779	3.86433
1808001	3.44947
438	3.1555
192812	2.95156
575	5.85103
359408	2.57932
767892	2.75353
2487118	3.21292
316068	4.05965
423605	1.64356
33871	2.11568
54291	5.69282
313985	3.99487
141	1.04198
2028343	6.27963
1687	1.74971
1933880	3.91842
779	1.48526
2026186	5.49619
2320270	6.21891
43768	2.85599
83556	1.17379
1806905	4.33959
147645	4.66885
1804	6.20791
777	2.00653
2603245	4.23883
1927128	2.14356
547188	3.88438
1493872	4.43035
212663	5.51645
63	3.78755
120576	3.3861
1600	1.32502
1778540	5.03244
2420308	2.04531
2527967	7.94932
199596	4.2984
167964	2.52855
2174846	7.28949
1033922	5.91918
1215089	3.42585
1686310	2.60215
53399	2.6661
291594	6.92995
2500132	4.80886
1881	7.07399
2083052	6.21891
563	4.1535
114881	0.765157
84110	3.1656
115808	8.04877
398743	4.071
375	9.17077
81412	2.63017
190893	5.60486
2217830	5.04024
49283	6.53738
2420300	3.44947
35703	4.95949
999	4.91934
28072	8.28895
314275	4.51254
2594007	5.91918
1133546	4.20828
33934	2.67217
32051	2.11117
265606	7.14763
283734	2.65731
341045	4.96025
1814128	2.1821
1209493	5.57784
2528021	9.00774
48296	3.99363
2588536	1.2726
2567883	3.561337
1355477	8.91061
1792	5.47191
644	4.9223
1583098	2.40434
1898203	2.42808
81479	4.03134
208962	4.80667
2020313	6.27963
51229	0.711269
568768	4.26896
1581038	5.04024
879	3.79212
76759	5.80279
254	4.25389
2493675	6.63908
2109	0.816889
2130	0.853471
70775	5.80631
2079535	2.34976
1785128	3.8792
157782	4.82353
28141	4.48252
2303750	4.37199
253245	4.00006
419257	4.91599
1561003	3.50198
300231	4.13423
189381	4.34526
2590776	6.21891
147802	1.30746
569	4.77205
2025949	5.48929
1471761	3.62922
34085	2.16028
1855331	6.21891
84590	1.61786
716	2.48494
2660554	6.66212
1647413	5.43179
1619311	4.82866
645	4.80419
47917	5.74213
44742	3.69931
1316414	3.01142
187101	1.33022
161896	2.45092
1768108	3.63817
2213226	3.33748
95641	5.03308
1921421	3.48631
2704465	8.98345
44449	1.24216
2071710	4.88031
1660073	1.65792
191493	2.5948
413497	4.53432
465721	3.46725
1879050	3.9989
80679	4.13752
1633785	1.26775
2213057	6.21891
2325	2.39782
208224	4.97361
2115	0.990767
1486034	3.15793
1928	8.0536
225991	3.74839
32049	2.11117
1608957	6.37146
1678028	5.73489
2004644	3.44947
1623450	1.35288
552810	1.68651
1575	2.66979
589873	3.89518
1526927	3.63664
2488665	4.625865
61652	4.99501
217203	6.42578
1761012	6.44127
859653	1.3432
53336	4.49112
1812935	4.99205
1437364	1.7747
2283318	3.77735
1541975	9.35305
691	5.16507
1616788	5.04436
701042	5.45685
1758179	4.63858
1336796	3.80301
983545	5.393591
2576307	2.75777
149715	2.24479
1336794	1.56562
1922217	1.09467
2018065	5.22564
1855875	1.99211
1596	1.93044
28447	3.30815
2126346	7.09021
150120	4.83988
59600	4.88835
1363	2.08227
1759437	5.17343
281093	2.40914
1165	7.0035
2218628	5.50464
412593	1.4761
1784	5.78297
169760	5.6588
1987500	0.656933
333962	4.26291
483547	2.41514
552	3.80538
60548	7.49286
488447	8.59277
46126	2.32336
55583	2.95026
1796620	3.80291
2109687	2.10072
1871111	3.65482
1648	1.77806
33069	5.97505
1769	3.26731
56454	5.24801
93222	5.95642
1967665	4.66127
2570229	4.86381
1270	2.5013
414771	7.77544
1703	3.92017
1173284	6.21891
354	5.36532
1063	4.616877
1936081	3.64499
495	2.39785
1827469	3.11108
29553	0.922012
1442032	8.19266
2652443	4.2242
1364	2.26516
1179672	3.85729
481743	6.66212
1784713	2.95798
54736	4.45214
150056	2.51782
2493107	3.27883
1945512	4.67467
2695266	8.19266
1226968	6.8627
401472	2.32828
504	1.99286
292566	3.78101
1316411	2.04531
1842533	5.0149
43674	2.74965
32054	9.24207
40214	3.5365
2027405	4.96748
2479546	4.00938
453304	4.37312
300	5.23836
712624	2.04531
1868589	4.49444
2528009	6.61866
2055	5.6733
853	2.79714
1768	6.43742
217	1.5781
2303538	4.44029
2518599	5.05621
82985	4.0387
1492	4.5972
238	4.06822
1555112	3.81704
380021	6.9382
996	3.23861
639310	3.21322
1759399	2.04531
1134405	3.30041
348043	9.55595
33996	3.91495
2126319	7.01812
33945	4.43097
79329	6.7326
29438	5.93352
553510	8.4823
1458461	3.4159
2566012	5.12288
1381081	4.79957
626774	4.03617
2529121	5.12288
1793	4.19463
1441386	2.045
384	7.64021
2079234	2.26321
208479	6.44637
85698	6.52914
61648	4.93853
456327	5.32156
37929	3.64122
1598	2.10467
56	11.9259
204042	4.64652
52584	2.62096
492	2.23693
68280	11.1383
2498451	4.24228
2057743	3.13253
1173283	6.21891
986	5.56098
114615	8.04877
283699	4.49273
1570328	4.33959
931866	8.38892
1516059	4.68353
2578113	8.04877
2698900	5.20204
622488	1.93864
566	4.39882
114186	0.164376
29385	2.63578
1094342	4.73395
441209	3.88342
1718	3.26596
2751	3.5283
1184	7.01857
35554	3.72034
233055	3.62445
1788	4.52482
2686361	3.37186
1517	2.71283
548	5.26068
376	8.04877
204773	3.42431
76758	5.97246
1639108	5.45069
119484	4.99025
1346	1.99586
119219	6.92737
1940690	2.41434
1978566	3.67112
630	4.55375
1275	3.94179
102134	4.85553
55210	4.86795
1933910	2.57822
114090	2.1141
47878	6.70478
1671680	3.19347
1295	2.42607
2697043	3.88268
1393	6.44394
2665642	4.83201
185008	3.39063
160791	5.77207
940	1.74303
2490851	4.86697
1124835	5.45879
109663	1.27353
83554	1.17895
2077136	4.80886
1277350	3.51111
1334	2.15351
47886	5.44637
29497	5.4513
1515	3.55823
374981	2.11117
426	5.07285
52765	2.80244
2420135	8.19266
109790	1.65785
332101	5.63701
1028416	3.15697
2479392	6.21891
93219	6.16737
2054227	4.37309
401619	0.582124
107709	5.95761
34103	4.51191
1807691	6.04863
36873	9.70295
2546356	6.55417
39777	2.0854
1390395	4.02999
2564099	2.11882
2664854	5.12288
393662	4.35112
823	5.11913
2066024	0.622357
1178482	4.75814
1830	5.65962
267128	4.59072
556288	3.76516
76832	4.13654
938406	9.25748
44012	4.27916
40269	4.70822
302406	4.76413
155077	4.57659
46429	4.74695
2102	1.08432
2736	8.10633
1290	2.25
1905730	5.02202
511	4.11729
351671	4.10998
2153485	8.19266
35793	1.25234
38305	2.71093
456163	2.02635
1623448	1.35291
2698804	2.04531
1222016	2.90563
1930546	3.38212
2082188	4.56125
28026	2.25434
502558	1.81774
1508404	4.11951
592316	4.86697
1675686	3.95881
59505	2.13099
2305220	8.19266
2004647	3.44947
758793	6.96449
2010972	5.76362
1075	3.64706
1474	3.28069
412384	5.38187
28903	0.974924
1813019	1.5091
36855	3.29253
1774273	3.8041
310783	3.85533
1903686	2.30099
200450	5.63467
67304	9.61701
2592354	2.23506
1435069	5.22193
1131707	3.59085
265293	7.84083
1462747	1.7747
1638	2.90249
2565366	4.33959
542	2.10387
28449	2.26242
2583530	2.39636
1833	6.80968
45972	2.55318
142058	1.21467
1230998	2.60415
93466	1.99549
593909	6.88444
929813	5.50139
61624	8.73905
1825069	2.32279
29466	2.13222
298654	8.81578
481146	3.21603
28131	2.7778
417367	3.97252
54005	1.8552
1834207	4.4683
839	3.58948
227	4.5726
446860	3.63834
57487	2.16517
674	4.32995
1906744	2.49331
1385592	7.63734
2026240	5.55583
1750719	3.10372
1249933	3.688445
2048898	3.49941
1911683	2.1572
2493672	6.63908
232721	5.0149
1756149	4.37908
45361	1.48186
1589	3.77477
1457153	1.0671
2591633	3.85709
2105	1.00895
2073078	6.21891
435897	6.27027
731	2.16998
1940	8.2995
862751	8.19266
28090	3.37874
50340	6.54108
417368	2.71006
445709	4.46419
1901	7.6941
2033844	9.29389
1079	3.72403
38313	4.84401
689	5.70183
69823	2.56391
189385	0.139618
74426	2.20407
35794	1.27541
2702	1.62032
1149133	6.4605
186490	0.667677
37330	7.73889
1720343	4.49273
1930532	6.21891
82348	2.15577
83617	4.00181
1642	2.88203
1803846	5.66536
241425	5.62041
397260	4.89081
1532023	2.416
2172103	3.84177
1085	4.04272
76123	2.82273
465541	8.19266
197575	1.92618
785	1.11216
726	1.91514
1405	5.67362
2565560	5.91918
1938605	3.11108
712991	3.24474
53408	7.07188
106654	3.9007
1332188	1.01378
84292	3.11257
2527775	1.79195
1538	4.57262
1501	4.3521
576610	1.70335
1424294	5.72143
37332	7.82899
37487	3.77911
155892	4.12373
1772	6.83548
39688	5.63054
264636	1.44806
696485	5.8902
51663	2.20028
2047	2.49282
1031542	1.51915
1244	1.8935
1538158	7.42971
588	4.40894
1257021	6.66562
85701	2.4124
68246	8.80979
1653831	0.63237
2033437	7.96992
271097	5.51767
233316	4.70403
2598861	4.25071
2112	0.853553
324078	0.800407
398	6.64525
1914471	2.7007
2283195	4.00591
51101	5.37482
62088	1.30724
75658	1.59183
316277	3.1793
444597	4.56536
2527963	10.7691
1825976	6.26011
106578	2.54016
253239	3.00951
151081	4.08057
1338368	5.28868
86265	6.59177
167468	8.156021
75588	6.23872
200451	6.10022
269673	3.26807
1325724	3.38335
168471	3.2623
96344	6.99742
83559	1.09204
1909293	3.94216
2585118	2.88233
1310	2.11248
189426	6.95894
589436	3.26179
2662364	5.21842
1884914	1.36178
471	3.91523
330214	3.95246
1571470	6.27963
2072414	4.37199
1836	8.2128
280473	5.98719
1131462	3.081
2043170	4.16882
1808979	4.70353
310575	4.54867
29485	4.38189
783	1.26823
722731	5.20788
1765049	3.9767
53412	6.25294
1216932	3.61702
44822	4.75422
28129	3.04414
119394	2.03994
1357915	4.33959
1570330	5.04024
1616117	9.61187
1736046	8.19266
152260	3.9355
1116375	4.97257
161154	3.33412
238834	4.96846
1494608	4.33959
621	4.70043
68270	10.2269
2585716	8.19266
104628	1.63718
2099583	8.19266
732	2.33287
656519	2.61312
364410	2.71578
47885	5.04107
2059875	5.20204
340345	6.30639
2493677	6.63908
1336806	3.66006
376174	7.551292
715451	4.97215
196	1.81922
1316412	2.04531
2571750	2.11582
2545455	4.09966
34018	4.32844
110937	4.33807
2035	3.81984
270351	7.42533
92706	3.33982
1331910	4.81075
40989	5.4083
1725232	1.41006
216929	5.73236
580165	4.28663
33923	0.826626
207340	4.93044
138074	2.46857
174	3.92176
434010	4.66646
321983	7.41786
190895	5.35835
2507162	3.62771
1620421	5.17277
357276	5.44491
1155739	8.93168
171279	0.956094
2500533	4.24698
164348	8.97663
39485	3.02149
1182568	2.97198
745310	4.02999
1089444	4.88164
59748	0.919869
706438	2.35034
1490052	2.89878
2304606	2.73153
2578107	4.33959
293389	3.79125
1484158	4.86697
2014887	5.44527
84023	4.3522
2652380	5.237481
879567	3.6461
35755	2.3707
1399115	2.9343
261302	8.39477
2018305	5.00441
96942	3.5026
33050	4.44456
2072936	4.56125
161493	5.0214
105219	4.85808
1434191	3.05018
2614638	3.28669
307121	7.07484
1564	3.96901
1296540	2.12223
1882831	3.76354
1636610	6.21891
1050	2.95829
1763535	4.93534
178899	2.67817
2099788	1.99616
292	8.55491
2014534	3.49941
164393	2.10744
2675298	3.43589
561879	3.74132
1871025	1.86488
453816	2.65789
172713	5.7787
2026188	5.6537
169679	5.00561
522485	1.73705
29447	3.68572
641107	2.78045
1623449	1.35283
434014	7.01812
1034889	7.01812
2016517	1.8313
2202254	3.05204
1263550	3.83603
347534	4.11296
158822	5.08436
1245526	3.19115
652	4.24547
1852377	1.89255
2447890	5.30839
885581	4.99118
89153	3.8021
146827	2.65323
1097	2.15495
1379	1.91619
2061	4.58923
1749259	4.12641
1250295	3.81766
487184	3.87656
1660074	1.65792
298653	7.7419
2496028	4.91897
1190415	6.04318
213	2.13034
1909395	9.83339
261964	2.85207
2054919	6.21891
1650	2.87828
82380	3.89371
1898684	6.21891
161879	2.51532
1744	2.63087
553239	4.15171
1235990	1.17401
1138383	5.53358
33025	2.44362
293	3.36932
69220	4.82685
194963	6.70253
1094	2.03116
69218	4.87732
2420310	2.04531
42444	5.30459
2654191	4.04628
29380	2.62937
1898103	3.4946
2099	0.901315
637971	2.98196
1316408	2.04531
1639133	5.12267
154	2.51643
97478	2.09412
106370	5.26676
1915078	4.23825
262209	3.48279
589382	3.69241
2267618	5.61071
2587854	6.81219
2079806	4.83861
1890302	5.5943
40990	4.56411
1855377	1.20069
59932	2.11117
95485	8.50551
394751	4.45848
531813	3.94889
88058	3.92508
1798216	4.04985
204039	4.84093
67081	6.01685
43948	3.47129
535744	4.43689
132132	2.78337
482957	8.81783
67267	9.71738
1032072	2.80058
1799	5.92425
859143	4.69437
454171	3.43797
157687	2.36941
68175	11.0006
28189	2.66757
43662	5.37573
1286	2.65897
386487	1.16051
248903	6.93607
1712675	2.30086
1911	8.02921
300019	3.29396
2528022	5.87121
2697030	3.13162
996801	4.12259
188770	7.11118
2661922	4.97257
86660	1.08445
1549858	3.34202
665913	4.34492
40216	3.05554
337090	2.57208
1681	2.20341
39689	6.30168
60890	4.54101
2681309	4.86238
